Day,Time (ET),Site,Region,Game,Game
"Saturday, 2019-03-23",12:10 p.m.,Jacksonville I,East,(6) Maryland vs. (3) LSU,CBS
"Saturday, 2019-03-23",After concl. I,Jacksonville II,Midwest,(7) Wofford vs. (2) Kentucky,CBS
"Saturday, 2019-03-23",5:15 p.m.,Des Moines I,West,(10) Florida vs. (2) Michigan,CBS
"Saturday, 2019-03-23",6:10 p.m.,Hartford I,West,(12) Murray State vs. (4) Florida State,TNT
"Saturday, 2019-03-23",7:10 p.m.,Salt Lake City I,West,(1) Gonzaga vs. (9) Baylor,TBS
"Saturday, 2019-03-23",After concl. I,Des Moines II,East,(10) Minnesota vs. (2) Michigan State,CBS
"Saturday, 2019-03-23",After concl. I,Hartford II,South,(6) Villanova vs. (3) Purdue,TNT
"Saturday, 2019-03-23",After concl. I,Salt Lake City II,Midwest,(4) Kansas vs. (5) Auburn,TBS
"Sunday, 2019-03-24",12:10 p.m.,Columbus I,South,(10) Iowa vs. (2) Tennessee,CBS
"Sunday, 2019-03-24",After concl. I,Columbus II,Midwest,(9) Washington vs. (1) North Carolina,CBS
"Sunday, 2019-03-24",5:15 p.m.,Columbia I,East,(9) UCF vs. (1) Duck,CBS
"Sunday, 2019-03-24",6:10 p.m.,Tulsa I,West,(6) Buffalo vs. (3) Texas Tech,TNT
"Sunday, 2019-03-24",7:10 p.m.,San Jose I,East,(12) Liberty vs. (4) Virginia Tech,TBS
"Sunday, 2019-03-24",After concl. I,Columbia II,South,(9) Oklahoma vs. (1) Virginia,truTV
"Sunday, 2019-03-24",After concl. I,Tulsa II,Midwest,(11) Ohio State vs. (3) Houston,TNT
"Sunday, 2019-03-24",After concl. I,San Jose II,South,(13) UC Irvine vs. (1) Oregon,TBS